date,type,operator,onboard fatality,ground fatality,total fatality,location,impact
7-Jun-89,McDonnell Douglas DC-8-62,Surinam Airways,176,0,176,3 km W of Paramaribo-Zanderij International Airport (PBM),Pilot Training | Weather
21-Dec-88,Boeing 747-121A,Pan American World Airways (Pan Am),259,11,270,Lockerbie,Airport Security
3-Jul-88,Airbus A300B2-203,Iran Air,290,0,290,4 km SE off Qeshm Island,War Risk | Air Traffic Control
9-May-87,Ilyushin Il-62M,LOT Polskie Linie Lotnicze,183,0,183,6 km SE of Warszawa-Okecie Airport (WAW),Fleet Maintenance | Pilot Training
12-Dec-85,McDonnell Douglas DC-8-63CF,Arrow Air,256,0,256,"1 km SW of Gander Airport, NL (YQX)",Weather | Pilot Training
12-Aug-85,Boeing 747SR-46,Japan Air Lines - JAL,520,0,520,"26 km SW of Ueno Village, Tano district, Gunma Prefecture",Aircraft Design | Fleet Maintenance
10-Jul-85,Tupolev Tu-154B-2,Aeroflot / Uzbekistan,200,0,200,near Uchkuduk,Air Traffic Control
23-Jun-85,Boeing 747-237B,Air-India,329,0,329,"176 km W off Cork, Ireland",Airport Security
11-Oct-84,Tupolev Tu-154B-1,"Aeroflot, East Siberia Civil Aviation Directorate",174,4,178,Omsk Airport (OMS),Airport/Ground Operations | Pilot Training
27-Nov-83,Boeing 747-283M,"Avianca, lsf Scandinavian Airlines System - SAS",181,0,181,12 km SE of Madrid-Barajas Airport (MAD),Pilot Training
1-Sep-83,Boeing 747-230B,Korean Air Lines - KAL,269,0,269,"37 km W off Sakhalinsk [Okhotsk Sea]",War Risk | Pilot Training
1-Dec-81,McDonnell Douglas DC-9-81 (MD-81),Inex-Adria Aviopromet,180,0,180,24 km SE of Ajaccio-Campo dell'Oro Airport (AJA),Weather | Pilot Training
19-Aug-80,Lockheed L-1011 TriStar 200,Saudi Arabian Airlines,301,0,301,Riyadh International Airport (RUH),Aircraft Design | Pilot Training
28-Nov-79,McDonnell Douglas DC-10-30,Air New Zealand,257,0,257,Mount Erebus,Pilot Training
11-Aug-79,Tupolev Tu-134A,Aeroflot / Belarus,84,94,178,2 km NE of Kurilovka,Air Traffic Control
11-Aug-79,Tupolev Tu-134A,Aeroflot / Moldova,94,84,178,"3,5 km SE of Kurilovka",Air Traffic Control
25-May-79,McDonnell Douglas DC-10-10,American Airlines,271,2,273,"Chicago-O'Hare International Airport, IL (ORD)",Aircraft Design
15-Nov-78,McDonnell Douglas DC-8-63CF,"Loftleidir, opf Garuda Indonesia Airways",183,0,183,"2,1 km NE of Colombo-Bandaranaike International Airport (CMB)",Pilot Training | Weather
1-Jan-78,Boeing 747-237B,Air-India,213,0,213,3 km W off Bombay-Santacruz Airport (BOM),Airport Security
27-Mar-77,Boeing 747-206B,KLM Royal Dutch Airlines,248,335,583,Tenerife-Los Rodeos International Airport (TCI),Pilot Training | Airport/Ground Operations
27-Mar-77,Boeing 747-121,Pan American World Airways (Pan Am),335,248,583,Tenerife-Los Rodeos International Airport (TCI),Pilot Training | Airport/Ground Operations
10-Sep-76,McDonnell Douglas DC-9-32,Inex-Adria Aviopromet,113,63,176,near Vrbovec,Air Traffic Control
10-Sep-76,Hawker Siddeley HS-121 Trident 3B,British Airways,63,113,176,near Vrbovec,Air Traffic Control
3-Aug-75,Boeing 707-321C,"Jordanian World Airways, opf Royal Air Maroc - RAM",188,0,188,near Amskroud,Pilot Training | Weather
4-Dec-74,Douglas DC-8-55F,Martinair Holland,191,0,191,Maskeliya,Pilot Training
3-Mar-74,McDonnell Douglas DC-10-10,Türk Hava Yollari - THY,346,0,346,Bois d'Ermenonville,Aircraft Design
22-Jan-73,Boeing 707-3D3C,"Nigeria Airways, lsf Alia Royal Jordanian Airlines",176,0,176,Kano International Airport (KAN),Airport/Ground Operations | Weather
13-Oct-72,Ilyushin Il-62,"Aeroflot, International Civil Aviation Directorate",174,0,174,11 km N of Moskva-Sheremetyevo Airport (SVO),Aircraft Design | Pilot Training
