acc. date,type,operator,Onboard Fatality,Ground Fatality,Total Fatality,location,dmg,capacity
29 Dec 2024,B737,Jeju Air,179,0,179,Muan International Airport (MWX/RKJB),w/o,230
25 Nov 2024,B737,Swiftair opf DHL,1,0,1,"c. 1,3 km N of Vilnius International Airport (VNO/EYVI)",w/o,230
2 Nov 2024,A350,Finnair,0,1,1,Helsinki - Vantaa (HEL / EFHK),min,440
29 Oct 2024,A330,Flynas opb Lion Air,1,0,1,Madinah-Mohammad Bin Abdulaziz Airport (MED/OEMA),non,440
8 Oct 2024,A350,THY Turkish Airlines,1,0,1,over northern Canada,non,440
27 Aug 2024,B757,Delta Air Lines,0,2,2,"Hartsfield–Jackson Atlanta Int. Airport (ATL/KATL), Atlanta, GA",non,239
2 Jul 2024,B737,Varesh Airlines,0,1,1,Chabahar-Konarak Airport (ZBR/OIZC),unk,230
12 Jun 2024,A320,"Sky Vision Airlines, opf Nesma Airlines",1,0,1,NW of Jeddah,non,244
21 May 2024,B777,Singapore Airlines,1,0,1,over Irrawaddy Basin,min,396
2 Jan 2024,A350,Japan Airlines,0,5,5,Tokyo International Airport/Haneda (HND/RJTT),w/o,440
19 Jan 2025,A320,LATAM Airlines Brasil,1,0,1,"São José do Rio Preto Airport, SP (SJP/SBSR)",non,244
